Feature ID	Taxon	Confidence
G000160575	d__Bacteria; p__Firmicutes_D; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Weissella_A_338544; s__Weissella_A_338544 paramesenteroides_336926	1.0
G900543375	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__43-108; s__43-108 sp001915545	1.0
G000701725	d__Bacteria; p__Firmicutes_D; c__Bacilli; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Bulleidia; s__Bulleidia sp000701725	1.0
G000508965	d__Bacteria; p__Firmicutes_D; c__Bacilli; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Dielma; s__Dielma sp001305055	1.0
G001544555	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales_592524; f__Burkholderiaceae_A_580492; g__Caballeronia; s__Caballeronia udeis_577982	1.0
G000495935	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales_877923; f__Weeksellaceae; g__Elizabethkingia; s__Elizabethkingia anophelis	1.0
G000826105	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales_650611; f__Pseudomonadaceae; g__Pseudomonas_E_647464; s__Pseudomonas_E_647464 massiliensis	1.0
G002162375	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales_636476; f__Oleiphilaceae_636476; g__Oleiphilus; s__Oleiphilus messinensis	1.0
G000018685	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Lachnoclostridium_A_184689; s__Lachnoclostridium_A_184689 phytofermentans	1.0
G000495855	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__Asticcacaulis; s__Asticcacaulis sp000495855	1.0
G001292585	d__Bacteria; p__Desulfobacterota_I; c__Desulfobacteria; o__Desulfobacterales; f__Magnetomoraceae; g__Magnetomorum; s__	1.0
G000513555	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Oribacterium; s__Oribacterium sp000513555	1.0
G001447195	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales_592522; f__Burkholderiaceae_A_592522; g__Aquabacterium_B_592457; s__Aquabacterium_B_592457 parvum	1.0
G900110565	d__Bacteria; p__Actinobacteriota; c__Coriobacteriia; o__Coriobacteriales; f__Eggerthellaceae; g__Denitrobacterium; s__Denitrobacterium detoxificans	1.0
G001687565	d__Bacteria; p__Firmicutes_D; c__Bacilli; o__Bacillales_A; f__Planococcaceae; g__Planococcus; s__Planococcus antarcticus	1.0
G000715975	d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Streptosporangiales; f__Streptosporangiaceae; g__Sphaerisporangium_394618; s__Sphaerisporangium viridialbum	1.0
G001602415	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__NS11-12g_892060; f__UKL13-3; g__UKL13-3; s__UKL13-3 sp001602415	1.0
G001678465	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales_A_737866; f__Pasteurellaceae; g__Gallibacterium; s__Gallibacterium anatis	1.0
